证券代码,交易日,证券中文名,复权前收盘价,实际昨收盘,今开盘,最高价,最低价,今收盘,成交量,成交金额,成交笔数,日换手率,累计前复权因子,流通市值,总市值,涨跌幅,是否开盘
300012.SZ,2017-02-21,华测检测,10.15,10.15,10.13,10.32,10.11,10.3,6202599.0,63477535.85,4347,0.0092,1.0,6979256310.0,8623987090.0,0.0148,True
300012.SZ,2017-02-22,华测检测,10.3,10.3,10.32,10.34,10.24,10.31,4252837.0,43749884.46,3224,0.0063,1.0,6986032287.0,8632359893.0,0.001,True
300012.SZ,2017-02-23,华测检测,10.31,10.31,10.37,10.39,10.22,10.3,6410072.0,66005829.98,3848,0.0095,1.0,6979256310.0,8623987090.0,-0.001,True
300012.SZ,2017-02-24,华测检测,10.3,10.3,10.3,10.35,10.25,10.31,7515378.0,77311320.59,4787,0.0111,1.0,6986032287.0,8632359893.0,0.001,True
300012.SZ,2017-02-27,华测检测,10.31,10.31,10.31,10.32,10.1,10.14,7368985.0,75295454.48,5426,0.0109,1.0,6870840678.0,8490022242.0,-0.0165,True
300012.SZ,2017-02-28,华测检测,10.14,10.14,10.12,10.16,10.02,10.09,8602133.0,86556514.05,7769,0.0127,1.0,6836960793.0,8448158227.0,-0.0049,True
300012.SZ,2017-03-01,华测检测,10.09,10.09,10.09,10.15,10.05,10.09,7010668.0,70753472.17,5262,0.0103,1.0,6836960793.0,8448158227.0,0.0,True
300012.SZ,2017-03-02,华测检测,10.09,10.09,10.09,10.11,9.9,9.92,10458352.0,104370136.06,6595,0.0154,1.0,6721769184.0,8305820576.0,-0.0168,True
300012.SZ,2017-03-03,华测检测,9.92,9.92,9.9,10.04,9.81,10.01,9204407.0,91655197.35,6051,0.0136,1.0,6782752977.0,8381175803.0,0.0091,True
300012.SZ,2017-03-06,华测检测,10.01,10.01,10.0,10.2,9.95,10.12,15973204.0,161418836.95,7899,0.0236,1.0,6857288724.0,8473276636.0,0.011,True
300012.SZ,2017-03-07,华测检测,10.12,10.12,10.13,10.35,10.09,10.34,16407897.0,167334507.99,9105,0.0242,1.0,7006360218.0,8657478302.0,0.0217,True
300012.SZ,2017-03-08,华测检测,10.34,10.34,10.42,10.63,10.29,10.32,20794522.0,217046308.99,14923,0.0307,1.0,6992808264.0,8640732696.0,-0.0019,True
300012.SZ,2017-03-09,华测检测,10.32,10.32,10.32,10.32,10.12,10.31,10485423.0,106965160.93,8000,0.0155,1.0,6986032287.0,8632359893.0,-0.001,True
300012.SZ,2017-03-10,华测检测,10.31,10.31,10.26,10.58,10.21,10.41,16068233.0,166998167.1,11235,0.0237,1.0,7053792057.0,8716087923.0,0.0097,True
300012.SZ,2017-03-13,华测检测,10.41,10.41,10.41,10.5,10.24,10.46,12426092.0,129024264.18,7680,0.0183,1.0,7087671942.0,8757951938.0,0.0048,True
300012.SZ,2017-03-14,华测检测,10.46,10.46,10.43,10.49,10.19,10.28,14011022.0,144478726.11,8189,0.0207,1.0,6965704356.0,8607241484.0,-0.0172,True
300012.SZ,2017-03-15,华测检测,10.28,10.28,10.22,10.31,10.01,10.1,13549521.0,137323514.48,7907,0.02,1.0,6843736770.0,8456531030.0,-0.0175,True
300012.SZ,2017-03-16,华测检测,10.1,10.1,10.05,10.24,10.05,10.18,10687892.0,108831189.43,5425,0.0158,1.0,6897944586.0,8523513454.0,0.0079,True
300012.SZ,2017-03-17,华测检测,10.18,10.18,10.16,10.3,10.02,10.08,13536160.0,137655393.38,8064,0.02,1.0,6830184816.0,8439785424.0,-0.0098,True
300012.SZ,2017-03-20,华测检测,10.08,10.08,10.06,10.15,10.03,10.13,6765035.0,68235694.27,4705,0.01,1.0,6864064701.0,8481649439.0,0.005,True
300012.SZ,2017-03-21,华测检测,10.13,10.13,10.13,10.14,10.01,10.03,9057318.0,91052988.56,6073,0.0134,1.0,6796304931.0,8397921409.0,-0.0099,True
300012.SZ,2017-03-22,华测检测,10.03,10.03,10.04,10.26,10.02,10.1,13717613.0,138926907.49,8879,0.0202,1.0,6843736770.0,8456531030.0,0.007,True
300012.SZ,2017-03-23,华测检测,10.1,10.1,10.15,10.15,10.01,10.11,8948357.0,90194988.28,5380,0.0132,1.0,6850512747.0,8464903833.0,0.001,True
300012.SZ,2017-03-24,华测检测,10.11,10.11,10.13,10.21,10.08,10.15,8067709.0,81821643.5,5767,0.0119,1.0,6877616655.0,8498395045.0,0.004,True
300012.SZ,2017-03-27,华测检测,10.15,10.15,10.15,10.21,9.99,10.04,10870636.0,109515350.66,8591,0.016,1.0,6803080908.0,8406294212.0,-0.0108,True
300012.SZ,2017-03-28,华测检测,10.04,10.04,10.03,10.03,9.94,9.99,5928922.0,59189469.87,4312,0.0087,1.0,6769201023.0,8364430197.0,-0.005,True
300012.SZ,2017-03-29,华测检测,9.99,9.99,9.99,10.02,9.8,9.8,10540735.0,104197428.58,6796,0.0156,1.0,6640457460.0,8205346940.0,-0.019,True
300012.SZ,2017-03-30,华测检测,9.8,9.8,9.81,9.84,9.5,9.54,9051942.0,87026097.35,6731,0.0134,1.0,6464282058.0,7987654062.0,-0.0265,True
300012.SZ,2017-03-31,华测检测,9.54,9.54,9.58,9.65,9.52,9.59,3982698.0,38129764.58,4022,0.0059,1.0,6498161943.0,8029518077.0,0.0052,True
300012.SZ,2017-04-05,华测检测,9.59,9.59,9.62,9.85,9.61,9.85,7592137.0,73823305.25,6538,0.0112,1.0,6674337345.0,8247210955.0,0.0271,True
300012.SZ,2017-04-06,华测检测,9.85,9.85,9.84,9.89,9.77,9.79,8549617.0,83957266.07,4558,0.0126,1.0,6633681483.0,8196974137.0,-0.0061,True
