请求类型,周期类型,证券代码,日期和时间,开盘价,最高价,最低价,今收盘,昨日收盘价,涨停价,跌停价,成交总量,成交总额
kLine,day,000001.SZ,2016-04-05,10.62,10.81,10.5,10.7,10.66,11.73,9.59,59230864,63237.8859
kLine,day,600000.SH,2016-04-05,17.94,18.29,17.76,18.17,18.18,20.0,16.36,42622297,76801.0128
kLine,day,000001.SZ,2016-04-06,10.68,10.75,10.61,10.72,10.7,11.77,9.63,43525954,46496.2437
kLine,day,600000.SH,2016-04-06,18.03,18.14,17.87,17.96,18.17,19.99,16.35,23428724,42123.4846
kLine,day,000001.SZ,2016-04-07,10.72,10.73,10.59,10.59,10.72,11.79,9.65,37771959,40194.905
kLine,day,600000.SH,2016-04-07,17.95,18.0,17.63,17.69,17.96,19.76,16.16,29047713,51612.9852
kLine,day,000001.SZ,2016-04-08,10.55,10.67,10.5,10.57,10.59,11.65,9.53,37655386,39799.8243
kLine,day,600000.SH,2016-04-08,17.56,17.76,17.53,17.6,17.69,19.46,15.92,17132244,30170.4521
kLine,day,000001.SZ,2016-04-11,10.6,10.8,10.6,10.72,10.57,11.63,9.51,78638602,84048.6348
kLine,day,600000.SH,2016-04-11,17.6,17.82,17.55,17.67,17.6,19.36,15.84,24117635,42686.2387
kLine,day,000001.SZ,2016-04-12,10.7,10.71,10.62,10.67,10.72,11.79,9.65,29859954,31853.8001
kLine,day,600000.SH,2016-04-12,17.69,17.7,17.53,17.62,17.67,19.44,15.9,14100759,24800.2295
kLine,day,000001.SZ,2016-04-13,10.73,10.97,10.71,10.81,10.67,11.74,9.6,85676036,92985.8588
kLine,day,600000.SH,2016-04-13,17.73,17.99,17.69,17.74,17.62,19.38,15.86,35189716,62766.7715
kLine,day,000001.SZ,2016-04-14,10.88,10.9,10.79,10.84,10.81,11.89,9.73,32364630,35070.2741
kLine,day,600000.SH,2016-04-14,17.9,18.01,17.75,17.8,17.74,19.51,15.97,15796208,28197.7244
kLine,day,000001.SZ,2016-04-15,10.84,10.94,10.8,10.88,10.84,11.92,9.76,49722404,54105.2858
kLine,day,600000.SH,2016-04-15,17.95,18.06,17.8,17.89,17.8,19.58,16.02,34773526,62383.6222
kLine,day,000001.SZ,2016-04-18,10.82,10.85,10.73,10.73,10.88,11.97,9.79,35065401,37779.1436
kLine,day,600000.SH,2016-04-18,17.75,18.03,17.66,17.81,17.89,19.68,16.1,28084133,50179.0676
kLine,day,000001.SZ,2016-04-19,10.77,10.81,10.71,10.77,10.73,11.8,9.66,21823994,23447.9844
kLine,day,600000.SH,2016-04-19,17.95,17.98,17.78,17.9,17.81,19.59,16.03,27246371,48709.5912
kLine,day,000001.SZ,2016-04-20,10.77,10.78,10.36,10.52,10.77,11.85,9.69,60658625,64014.9677
kLine,day,600000.SH,2016-04-20,17.89,17.99,17.31,17.96,17.9,19.69,16.11,46614611,82543.7834
kLine,day,000001.SZ,2016-04-21,10.52,10.63,10.45,10.51,10.52,11.57,9.47,55879920,58873.1547
kLine,day,600000.SH,2016-04-21,17.82,18.35,17.75,18.12,17.96,19.76,16.16,48212915,87238.2605
kLine,day,000001.SZ,2016-04-22,10.46,10.62,10.41,10.55,10.51,11.56,9.46,35967712,37917.6139
kLine,day,600000.SH,2016-04-22,18.0,18.36,17.94,18.24,18.12,19.93,16.31,28178162,51319.4655
kLine,day,000001.SZ,2016-04-25,10.56,10.56,10.42,10.5,10.55,11.61,9.5,34925775,36653.3376
kLine,day,600000.SH,2016-04-25,18.15,18.16,17.82,17.88,18.24,20.06,16.42,24294360,43546.786
kLine,day,000001.SZ,2016-04-26,10.48,10.6,10.46,10.59,10.5,11.55,9.45,29169938,30696.2513
kLine,day,600000.SH,2016-04-26,17.87,18.08,17.75,17.92,17.88,19.67,16.09,15739400,28150.1388
kLine,day,000001.SZ,2016-04-27,10.58,10.61,10.52,10.57,10.59,11.65,9.53,23955393,25330.8584
kLine,day,600000.SH,2016-04-27,17.97,17.97,17.8,17.86,17.92,19.71,16.13,13838875,24762.2905
kLine,day,000001.SZ,2016-04-28,10.58,10.76,10.54,10.66,10.57,11.63,9.51,45746041,48726.122
kLine,day,600000.SH,2016-04-28,17.93,18.1,17.83,17.9,17.86,19.65,16.07,15728417,28220.1353
kLine,day,000001.SZ,2016-04-29,10.64,10.64,10.55,10.57,10.66,11.73,9.59,40497767,42858.2155
kLine,day,600000.SH,2016-04-29,17.83,17.94,17.75,17.83,17.9,19.69,16.11,23065933,41246.0987
